Sup_ID;Adresse;LAT;LON;Act;Syst. 4G;Activations 4G;Syst. 5G;Activations 5G;PLMN;Azimuths
9230019562;9230019562;38.6341891;-8.7448065;1;900,1800;2022/02/31,2022/02/31;;;26802;
9230019582;9230019582;38.6429462;-8.7461659;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9230019582;9230019582;38.6429462;-8.7461659;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9416002945;9416002945;38.7005131;-8.8017961;1;900,2100;2022/02/31,2022/02/31;;;26806;
9416002945;9416002945;38.7005131;-8.8017961;1;900,1800;2022/02/31,2022/02/31;;;26802;
9416002936;9416002936;38.702354;-8.7488954;1;900,2100;2022/02/31,2022/02/31;;;26806;
9416002936;9416002936;38.702354;-8.7488954;1;900,1800;2022/02/31,2022/02/31;;;26802;
9416002927;9416002927;38.6865261;-8.7245774;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9416002927;9416002927;38.6865261;-8.7245774;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
6885681518;6885681518;38.6234262;-8.6526872;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9230019589;9230019589;38.6437877;-8.6708231;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9230019589;9230019589;38.6437877;-8.6708231;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
6057735704;6057735704;38.6046304;-8.6426239;1;900,2100;2022/02/31,2022/02/31;;;26806;
6057735705;6057735705;38.6044843;-8.6427826;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
6057735705;6057735705;38.6044843;-8.6427826;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
6057735705;6057735705;38.6044843;-8.6427826;1;900,1800;2022/02/31,2022/02/31;;;26802;
8779300749;8779300749;38.6134647;-8.6117969;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
8779300749;8779300749;38.6134647;-8.6117969;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
8779300749;8779300749;38.6134647;-8.6117969;1;900,1800;2022/02/31,2022/02/31;;;26802;
10231895865;10231895865;38.6641553;-8.6532574;1;900,2100;2022/02/31,2022/02/31;;;26806;
10231895865;10231895865;38.6641553;-8.6532574;1;900,1800;2022/02/31,2022/02/31;;;26802;
10281108401;10281108401;38.6878798;-8.6622074;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
10281108401;10281108401;38.6878798;-8.6622074;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
10281108401;10281108401;38.6878798;-8.6622074;1;900,1800;2022/02/31,2022/02/31;;;26802;
5981643148;5981643148;38.6779857;-8.6129196;1;900,2100;2022/02/31,2022/02/31;;;26806;
5981643148;5981643148;38.6779857;-8.6129196;1;900,1800;2022/02/31,2022/02/31;;;26802;
9039159658;9039159658;38.6759598;-8.6098714;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9039159658;9039159658;38.6759598;-8.6098714;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9600714365;9600714365;38.8075918;-8.7045693;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9600714365;9600714365;38.8075918;-8.7045693;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9600714365;9600714365;38.8075918;-8.7045693;1;900,1800;2022/02/31,2022/02/31;;;26802;
9236587346;9236587346;38.7447657;-8.6734669;1;900,2100;2022/02/31,2022/02/31;;;26806;
10764734966;10764734966;38.7483058;-8.6670488;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
10764734966;10764734966;38.7483058;-8.6670488;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
10764734966;10764734966;38.7483058;-8.6670488;1;900,1800;2022/02/31,2022/02/31;;;26802;
9434211352;9434211352;38.7800361;-8.6946414;1;900,2100;2022/02/31,2022/02/31;;;26806;
9434211352;9434211352;38.7800361;-8.6946414;1;900,1800;2022/02/31,2022/02/31;;;26802;
9208585683;9208585683;38.7676488;-8.6314354;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9208585683;9208585683;38.7676488;-8.6314354;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9084249795;9084249795;38.7679096;-8.611658;1;900,2100;2022/02/31,2022/02/31;;;26806;
9178762547;9178762547;38.6339418;-8.5131307;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9178762547;9178762547;38.6339418;-8.5131307;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9178762546;9178762546;38.6338616;-8.5129599;1;900,2100;2022/02/31,2022/02/31;;;26806;
9178762546;9178762546;38.6338616;-8.5129599;1;900,1800;2022/02/31,2022/02/31;;;26802;
9039159657;9039159657;38.6762853;-8.5969246;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9383011471;9383011471;38.6447216;-8.4338792;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9178762585;9178762585;38.6490144;-8.4087257;1;900,2100;2022/02/31,2022/02/31;;;26806;
9178762585;9178762585;38.6490144;-8.4087257;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9178762585;9178762585;38.6490144;-8.4087257;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9383011445;9383011445;38.6685929;-8.480753;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9383011445;9383011445;38.6685929;-8.480753;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9383011445;9383011445;38.6685929;-8.480753;1;900,1800;2022/02/31,2022/02/31;;;26802;
9208585672;9208585672;38.6742068;-8.4718715;1;900,2100;2022/02/31,2022/02/31;;;26806;
9208585672;9208585672;38.6742068;-8.4718715;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9208585672;9208585672;38.6742068;-8.4718715;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9208585672;9208585672;38.6742068;-8.4718715;1;900,1800;2022/02/31,2022/02/31;;;26802;
9208585673;9208585673;38.677262;-8.4635138;1;900,1800;2022/02/31,2022/02/31;;;26802;
9208585673;9208585673;38.677262;-8.4635138;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
11592739726;11592739726;38.6803607;-8.4631008;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
11592739726;11592739726;38.6803607;-8.4631008;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
11592739726;11592739726;38.6803607;-8.4631008;1;900,1800;2022/02/31,2022/02/31;;;26802;
9383011432;9383011432;38.677186;-8.4557856;1;900,2100;2022/02/31,2022/02/31;;;26806;
6124904064;6124904064;38.6742412;-8.451577;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
6124904064;6124904064;38.6742412;-8.451577;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9569904767;9569904767;38.6583071;-8.4303652;1;900,1800;2022/02/31,2022/02/31;;;26802;
9383011458;9383011458;38.6746595;-8.4395541;1;900,2100;2022/02/31,2022/02/31;;;26806;
9383011458;9383011458;38.6746595;-8.4395541;1;900,1800;2022/02/31,2022/02/31;;;26802;
9208585674;9208585674;38.7763961;-8.5733446;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9208585674;9208585674;38.7763961;-8.5733446;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
10797169562;10797169562;38.7190684;-8.4281188;1;900,2100;2022/02/31,2022/02/31;;;26806;
11328316999;11328316999;38.8061205;-8.4130465;1;900,2100;2022/02/31,2022/02/31;;;26806;
5949459905;5949459905;38.8080277;-8.4070493;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
5949459905;5949459905;38.8080277;-8.4070493;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9500750914;9500750914;38.8142794;-8.7866516;1;900,2100;2022/02/31,2022/02/31;;;26806;
9500750914;9500750914;38.8142794;-8.7866516;1;900,1800;2022/02/31,2022/02/31;;;26802;
9500750895;9500750895;38.8235435;-8.7669518;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9500750895;9500750895;38.8235435;-8.7669518;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9500750886;9500750886;38.8430006;-8.7459632;1;900,2100;2022/02/31,2022/02/31;;;26806;
9500750886;9500750886;38.8430006;-8.7459632;1;900,1800;2022/02/31,2022/02/31;;;26802;
9500750868;9500750868;38.8609972;-8.7450445;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9500750868;9500750868;38.8609972;-8.7450445;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
9500750848;9500750848;38.8678763;-8.7898957;1;900,800;2022/02/31,2022/02/31;700;2023/02/31;26803;
9500750848;9500750848;38.8678763;-8.7898957;1;800,900;2022/02/31,2022/02/31;700;2023/02/31;26801;
